"timestamp","log_control_reduction","log_control_ecoli","control_total_cod_mgcod_per_gvss","control_total_pn_to_ps","control_lb_cod_mgcod_per_gvss","control_lb_proteins_mg_per_gvss","control_lb_carbs_mg_per_gvss","control_tb_cod_mgcod_per_gvss","control_tb_proteins_mg_per_gvss","control_tb_carbs_mgcarb_per_gvss","control_tb_pn_to_ps","AB9A_DO_mg_per_L","AB9A_NO5_mgN_per_L","AB9A_NH3_mg_N_per_L","AB9C_NH3_mg_N_per_L","NSI_TEMP_C","Clarifier_9_SLR_ppd_sf","AB9_INF_FLOW_MGD","AB9A_AIRFLOW_SCFM","Control_NSEC_ASRT","Control_ASRT_d","Control_Floc_SRT_d","Control_Granule_SRT_d","Control_AGS_Weighted_SRT_d","Control_Floc_percent","Control_Granule_percent"
2022-06-20,5.55037226135667,10.0212705881925,552.8,0.68,23.42,11.94,12.51,529.41,152.51,229.51,0.66,0.411031237896105,0.602929779778951,8.08393062240988,0.878206370571003,19.7253423603597,34.9454040527344,16.9162460091044,693.491507231498,5.483099937,5.430590961,5.430590961,5.8125712,5.455693261,93.42837747,6.571622528
2022-06-22,4.89092733003029,11.7752897294377,552.8,0.68,23.42,11.94,12.51,529.41,152.51,229.51,0.66,0.425469309525712,0.662751495300604,8.03521760862376,1.58707634567071,19.8609261340289,37.7960019508998,16.9155072467937,801.420992875954,5.869531631,5.430590961,5.430590961,5.8125712,5.455693261,93.42837747,6.571622528
2022-06-27,5.93182628078825,9.49551931420985,843.6,0.75,45.25,20.34,19.57,798.31,248.04,337.03,0.74,0.429525539583276,0.165076016795455,7.75396355833674,0.945355456014915,20.0437393923876,37.010151942571,16.8051847791929,748.97420634152,6.107087135,5.430590961,5.430590961,5.8125712,5.455693261,93.42837747,6.571622528
2022-06-29,5.88000910618266,9.86266555801587,843.6,0.75,45.25,20.34,19.57,798.31,248.04,337.03,0.74,0.380263502703362,0.0467310692567546,7.99183224118179,1.32800814328119,20.2782128446356,37.3783077001572,16.8144103258094,738.031797744742,6.172461033,6.535531988,6.535531988,6.891752652,6.553944309,94.83120358,5.168796424
2022-07-06,5.58829459722561,10.2109722522841,843.6,0.75,45.25,20.34,19.57,798.31,248.04,337.03,0.74,0.490205889240401,0.048220349411705,7.17633732086627,0.336963074091715,20.586976841644,35.6121994455655,16.917146190027,935.719250517768,5.027859688,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
2022-07-07,5.35528419115472,10.6805162170768,843.6,0.75,45.25,20.34,19.57,798.31,248.04,337.03,0.74,0.441317037359426,0.00428904890093699,7.16090573344473,0.2816331601131,20.7202016355263,35.300632417202,16.6319371998387,825.307281236693,5.253442287,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
2022-07-11,5.59418949296986,10.0345158149425,550.8,0.71,12.99,6.52,7.29,537.85,170.01,242.77,0.7,0.338628156592322,0.0130701043528936,7.50826072733998,1.18133283366469,21.4977251103086,36.0947913726171,16.5264879220092,675.453377722414,5.948667526,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
2022-07-18,6.11892284828778,9.68034400122192,550.8,0.71,12.99,6.52,7.29,537.85,170.01,242.77,0.7,0.306024962574565,0.0222730720418722,7.51084730812133,1.11551673882792,21.9488238063391,37.6279565294584,16.6231555309757,742.821176375523,5.989862919,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
2022-07-20,6.58877619980844,10.0774408596596,550.8,0.71,12.99,6.52,7.29,537.85,170.01,242.77,0.7,0.394960955266227,0.00941530840229979,8.31349653776586,0.895339317491541,22.0987512171744,37.7409807642301,16.4424961872024,904.769037236625,5.85172081,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
2022-07-25,6.02483024095178,9.5468126085974,495.3,0.97,19.82,5.44,9.29,475.48,227.17,230.98,0.98,0.257040117095696,0.0133166906198442,8.76114877758341,1.51950854235617,21.7818165203922,39.0353320837021,16.7910107472632,657.378966525351,5.823716164,5.276965895,5.276965895,5.492118326,5.285394441,96.08252376,3.917476238
